ID Imagem,ID Folha,Perimetro,Contraste,Homogeneidade,Correlacao
Teste06.png,Teste06-1.png,3538,41.56370533869442,0.24624128100039824,0.9785808371853028
Teste06.png,Teste06-2.png,3126,88.00639576070729,0.23904599506106233,0.94415526874184
Teste06.png,Teste06-3.png,2238,71.44254710295121,0.25682695112827214,0.9036263591496659
Teste06.png,Teste06-4.png,3134,13.99984558607804,0.36098147636063893,0.9922286273641021
Teste06.png,Teste06-5.png,3370,48.12169290300232,0.32145550145620944,0.9487768538542156
Teste06.png,Teste06-6.png,2445,73.6121499745436,0.19596822492633048,0.9613019987164544
Teste06.png,Teste06-7.png,4003,41.22919820437203,0.25981863950837625,0.9785798002413918
Teste06.png,Teste06-8.png,6744,204.0213252381903,0.30768263160409554,0.9480572384187271
Teste06.png,Teste06-9.png,4147,35.39639833712341,0.36875448848292985,0.9626386442282805
Teste06.png,Teste06-10.png,3098,58.25727952630881,0.21513828470715426,0.9698256099656533
Teste06.png,Teste06-11.png,8686,169.16507159394214,0.3954030188001289,0.9585313629403539
Teste06.png,Teste06-12.png,3531,39.14152168990872,0.253933903416691,0.9796517741937664
Teste06.png,Teste06-13.png,2632,44.72256101296844,0.266792936427192,0.9734544951489232
Teste06.png,Teste06-14.png,2922,56.2739143684681,0.29456901376711614,0.939003494075297
ID Imagem,ID Folha,Perimetro,Contraste,Homogeneidade,Correlacao
Teste07.png,Teste07-1.png,3217,20.423148711828514,0.28630765393612456,0.9878054305292774
Teste07.png,Teste07-2.png,5350,18.846850815188816,0.4589570714669259,0.9819587447814272
Teste07.png,Teste07-3.png,5723,10.933131476090828,0.5015498788491853,0.9924848417182203
Teste07.png,Teste07-4.png,2386,91.87143433021086,0.18704867916371692,0.9523902408898935
Teste07.png,Teste07-5.png,5219,19.76015010721944,0.3462700162906078,0.9900517371700107
Teste07.png,Teste07-6.png,2671,26.481152114062752,0.33047181293244876,0.9854777383911485
Teste07.png,Teste07-7.png,3395,15.411505045465118,0.6087114869063716,0.9834397641136506
Teste07.png,Teste07-8.png,10055,81.33953607859522,0.4119433330560397,0.9820165895352002
Teste07.png,Teste07-9.png,3210,30.792851024063552,0.369821342291023,0.9824878005783357
Teste07.png,Teste07-10.png,3677,19.470818072106873,0.4329617892291655,0.9868646843029809
Teste07.png,Teste07-11.png,5063,8.176699849081219,0.7096043076706474,0.9914670886437851
Teste07.png,Teste07-12.png,3650,50.62191737241652,0.31543334996364164,0.9710523609592631
Teste07.png,Teste07-13.png,11106,70.07206406371347,0.44106100634385675,0.9844345259325
Teste07.png,Teste07-14.png,4362,11.349614876874941,0.40658965685524784,0.9933185297588791
Teste07.png,Teste07-15.png,3158,43.043286788877374,0.34092708463888005,0.9565766676405787
Teste07.png,Teste07-16.png,3040,32.41397659301877,0.355830417353965,0.9815102648485989
